 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Kepler-356c,1.981,0.161,13.122,0.115,1442.00,Transit,2006,2350.000,0.970,6133,None,Giant,Short,Far,Small,Hot,0
Kepler-357b,1.981,0.164,6.475,0.063,1442.00,Transit,2006,2290.000,0.780,5036,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-357c,1.981,0.238,16.858,0.120,1442.00,Transit,2006,2290.000,0.780,5036,None,Giant,Short,Far,Small,Sun-like,0
Kepler-357d,1.981,0.306,49.500,0.246,1442.00,Transit,2006,2290.000,0.780,5036,None,Giant,Short,Far,Small,Sun-like,0
Kepler-358b,1.981,0.243,34.060,0.210,1442.00,Transit,2006,3700.000,0.950,5908,None,Giant,Short,Far,Small,Sun-like,0
Kepler-358c,1.981,0.254,83.488,0.381,1442.00,Transit,2006,3700.000,0.950,5908,None,Giant,Short,Far,Small,Sun-like,0
Kepler-359b,1.981,0.315,25.563,0.178,1442.00,Transit,2006,4900.000,1.070,6248,None,Giant,Short,Far,Small,Hot,0
Kepler-359c,1.981,0.384,57.688,0.307,1442.00,Transit,2006,4900.000,1.070,6248,None,Giant,Short,Far,Small,Hot,0
Kepler-359d,1.981,0.358,77.096,0.372,1442.00,Transit,2006,4900.000,1.070,6248,None,Giant,Short,Far,Small,Hot,0
Kepler-35b,0.127,0.728,131.458,0.603,1442.00,Transit,2006,5365.000,0.890,5606,None,Medium,Long,Far,Medium,Sun-like,0
Kepler-360b,1.981,0.147,3.290,0.044,1442.00,Transit,2006,2930.000,0.950,6053,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-360c,1.981,0.187,7.186,0.075,1442.00,Transit,2006,2930.000,0.950,6053,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-361b,1.981,0.129,8.487,0.086,1442.00,Transit,2006,3110.000,1.070,6169,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-361c,1.981,0.225,55.188,0.300,1442.00,Transit,2006,3110.000,1.070,6169,None,Giant,Short,Far,Small,Hot,0
Kepler-362b,1.981,0.079,10.327,0.087,1442.00,Transit,2006,3660.000,0.770,5788,None,Giant,Short,Far,Small,Sun-like,0
Kepler-362c,1.981,0.129,37.866,0.207,1442.00,Transit,2006,3660.000,0.770,5788,None,Giant,Short,Far,Small,Sun-like,0
Kepler-363b,1.981,0.103,3.615,0.048,1442.00,Transit,2006,2540.000,1.230,5593,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-363c,1.981,0.151,7.542,0.079,1442.00,Transit,2006,2540.000,1.230,5593,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-363d,1.981,0.183,11.932,0.107,1442.00,Transit,2006,2540.000,1.230,5593,None,Giant,Short,Far,Small,Sun-like,0
Kepler-364b,1.981,0.138,25.746,0.178,1442.00,Transit,2006,2980.000,1.200,6108,None,Giant,Short,Far,Small,Hot,0
Kepler-364c,1.981,0.192,59.981,0.312,1442.00,Transit,2006,2980.000,1.200,6108,None,Giant,Short,Far,Small,Hot,0
Kepler-365b,1.981,0.182,10.665,0.098,1442.00,Transit,2006,2800.000,0.990,6012,None,Giant,Short,Far,Small,Hot,0
Kepler-365c,1.981,0.146,17.784,0.137,1442.00,Transit,2006,2800.000,0.990,6012,None,Giant,Short,Far,Small,Hot,0
Kepler-366b,1.981,0.130,3.282,0.045,1442.00,Transit,2006,6400.000,1.050,6209,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-366c,1.981,0.160,12.516,0.110,1442.00,Transit,2006,6400.000,1.050,6209,None,Giant,Short,Far,Small,Hot,0
Kepler-367b,1.981,0.116,37.816,0.201,1442.00,Transit,2006,616.000,0.750,4710,None,Giant,Short,Far,Small,Sun-like,0
Kepler-367c,1.981,0.107,53.579,0.253,1442.00,Transit,2006,616.000,0.750,4710,None,Giant,Short,Far,Small,Sun-like,0
Kepler-368b,1.981,0.291,26.848,0.186,1442.00,Transit,2006,2570.000,0.710,5502,None,Giant,Short,Far,Small,Sun-like,0
Kepler-368c,1.981,0.346,72.379,0.360,1442.00,Transit,2006,2570.000,0.710,5502,None,Giant,Short,Far,Small,Sun-like,0
Kepler-369b,1.981,0.101,2.733,0.030,1442.00,Transit,2006,840.000,0.540,3591,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-369c,1.981,0.126,14.872,0.094,1442.00,Transit,2006,840.000,0.540,3591,None,Giant,Short,Far,Small,Cool,0
Kepler-36b,0.014,0.133,13.840,0.115,1442.00,Transit,2006,1500.000,1.070,5911,None,Small,Short,Far,Small,Sun-like,0
Kepler-36c,0.025,0.328,16.239,0.128,1442.00,Transit,2006,1500.000,1.070,5911,None,Small,Short,Far,Small,Sun-like,0
Kepler-370b,1.981,0.142,4.580,0.054,1442.00,Transit,2006,3930.000,0.940,5852,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-370c,1.981,0.170,19.023,0.140,1442.00,Transit,2006,3930.000,0.940,5852,None,Giant,Short,Far,Small,Sun-like,0
Kepler-371b,1.981,0.169,34.763,0.200,1442.00,Transit,2006,2710.000,0.940,5666,None,Giant,Short,Far,Small,Sun-like,0
Kepler-371c,1.981,0.159,67.968,0.313,1442.00,Transit,2006,2710.000,0.940,5666,None,Giant,Short,Far,Small,Sun-like,0
Kepler-372b,1.981,0.121,6.850,0.075,1442.00,Transit,2006,5090.000,1.150,6509,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-372c,1.981,0.186,20.054,0.154,1442.00,Transit,2006,5090.000,1.150,6509,None,Giant,Short,Far,Small,Hot,0
Kepler-372d,1.981,0.151,30.093,0.201,1442.00,Transit,2006,5090.000,1.150,6509,None,Giant,Short,Far,Small,Hot,0
Kepler-373b,1.981,0.121,5.535,0.060,1442.00,Transit,2006,3670.000,0.870,5787,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-373c,1.981,0.111,16.726,0.126,1442.00,Transit,2006,3670.000,0.870,5787,None,Giant,Short,Far,Small,Sun-like,0
Kepler-374b,1.981,0.092,1.898,0.029,1442.00,Transit,2006,4280.000,0.840,5977,None,Giant,Ultra Short,Far,Small,Sun-like,0
